DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID,Version
2012-01-01T00:30:08.770+00:00,12.008,143.487,35.0,5.1,mb,178,45,,1.20,pde,pde20120101003008770_35,1363392487731
2012-01-01T00:43:42.770+00:00,12.014,143.536,35.0,4.4,mb,29,121,,0.98,pde,pde20120101004342770_35,1363392488431
2012-01-01T00:50:08.040+00:00,-11.366,166.218,67.5,5.3,mb,143,43,,0.82,pde,pde20120101005008040_67,1363392488479
2012-01-01T01:22:07.660+00:00,-6.747,130.008,145.0,4.2,mb,14,112,,1.16,pde,pde20120101012207660_145,1363392488594
2012-01-01T02:35:21.110+00:00,23.472,91.834,27.8,4.6,mb,74,77,,0.65,pde,pde20120101023521110_27,1363392488611
2012-01-01T02:40:36.400+00:00,6.677,-73.110,158.1,4.0,mb,23,129,,0.90,pde,pde20120101024036400_158,1363392488809
2012-01-01T02:45:34.320+00:00,41.755,144.535,16.5,4.3,mb,44,135,,0.65,pde,pde20120101024534320_16,1363392488906
2012-01-01T03:24:43.920+00:00,-3.207,137.723,51.4,4.1,mb,11,165,,1.24,pde,pde20120101032443920_51,1363392488962
2012-01-01T04:10:46.710+00:00,-22.187,170.147,50.7,4.0,mb,12,183,,1.03,pde,pde20120101041046710_50,1363392489036
2012-01-01T04:56:40.980+00:00,-58.259,-149.214,10.0,5.0,mb,42,74,,0.75,pde,pde20120101045640980_10,1363392489045
2012-01-01T05:19:34.930+00:00,10.632,91.737,10.0,4.6,mb,27,85,,1.28,pde,pde20120101051934930_10,1363392489076
2012-01-01T05:27:55.980+00:00,31.456,138.072,365.3,6.8,mww,628,11,,0.84,pde,pde20120101052755980_365,1363392489138
2012-01-01T06:11:41.550+00:00,50.963,158.996,36.7,4.7,mb,88,102,,0.91,pde,pde20120101061141550_36,1363392489617
2012-01-01T07:40:27.240+00:00,13.614,-90.509,80.6,4.3,mb,46,159,,0.96,pde,pde20120101074027240_80,1363392489815
2012-01-01T08:07:01.090+00:00,49.689,77.570,10.0,4.2,mb,19,53,,1.17,pde,pde20120101080701090_10,1363392489837
2012-01-01T08:17:08.290+00:00,-58.305,-149.238,10.0,4.9,mb,20,73,,0.80,pde,pde20120101081708290_10,1363392489977
2012-01-01T08:31:26.950+00:00,37.844,141.351,49.5,4.5,mb,51,183,,1.19,pde,pde20120101083126950_49,1363392489986
2012-01-01T08:59:52.110+00:00,-8.300,118.724,44.1,4.0,mb,18,81,,1.14,pde,pde20120101085952110_44,1363392490008
2012-01-01T09:05:48.660+00:00,-43.530,172.769,6.8,4.0,ml,16,163,,,pde,pde20120101090548660_6,1363392490015
2012-01-01T09:29:43.620+00:00,37.401,144.748,10.0,4.8,mb,136,98,,0.85,pde,pde20120101092943620_10,1363392490024
2012-01-01T10:02:12.640+00:00,-4.105,129.743,85.4,4.5,mb,32,77,,1.00,pde,pde20120101100212640_85,1363392490072
2012-01-01T10:24:00.600+00:00,17.094,-101.255,13.0,4.0,md,5,246,,,pde,pde20120101102400600_13,1363392490085
2012-01-01T11:02:54.430+00:00,11.993,143.377,35.0,4.8,mb,92,88,,1.11,pde,pde20120101110254430_35,1363392490089
2012-01-01T11:07:22.800+00:00,51.920,96.229,10.0,4.5,mb,34,107,,0.97,pde,pde20120101110722800_10,1363392490122
2012-01-01T11:28:12.510+00:00,11.972,143.659,35.0,4.6,mb,40,88,,0.74,pde,pde20120101112812510_35,1363392490159
2012-01-01T11:59:03.240+00:00,-33.802,-178.324,26.9,4.9,mb,62,48,,0.92,pde,pde20120101115903240_26,1363392490171
2012-01-01T12:27:57.250+00:00,-43.470,172.852,13.3,5.1,mb,81,92,,,pde,pde20120101122757250_13,1363392490189
2012-01-01T12:31:26.690+00:00,-43.417,172.850,11.6,4.3,ml,36,153,,,pde,pde20120101123126690_11,1363392490233
2012-01-01T14:21:58.990+00:00,38.706,70.671,35.0,4.1,mb,20,159,,1.35,pde,pde20120101142158990_35,1363392490457
2012-01-01T14:48:40.600+00:00,5.804,-82.598,10.0,4.3,mb,16,92,,1.38,pde,pde20120101144840600_10,1363392490462
2012-01-01T15:35:21.700+00:00,19.584,-61.721,3.0,4.3,md,13,261,,,pde,pde20120101153521700_3,1363392490502
2012-01-01T15:44:12.070+00:00,12.018,143.607,6.5,5.1,mb,165,45,,1.12,pde,pde20120101154412070_6,1363392490513
2012-01-01T16:45:05.020+00:00,-43.476,172.881,13.6,5.2,mb,188,44,,,pde,pde20120101164505020_13,1363392490621
2012-01-01T16:50:16.840+00:00,-43.437,172.836,11.7,4.2,ml,19,191,,,pde,pde20120101165016840_11,1363392490661
2012-01-01T16:54:43.090+00:00,-43.453,172.885,15.1,4.1,ml,9,180,,,pde,pde20120101165443090_15,1363392490672
2012-01-01T17:06:45.190+00:00,-43.458,172.882,9.6,4.1,ml,27,170,,,pde,pde20120101170645190_9,1363392490755
2012-01-01T18:09:06.460+00:00,4.547,96.419,35.0,5.2,mb,169,30,,1.07,pde,pde20120101180906460_35,1363392490767
2012-01-01T18:50:43.000+00:00,-26.913,-71.105,45.2,4.6,mb,21,123,,,pde,pde20120101185043000_45,1363392490856
2012-01-01T19:32:52.620+00:00,-5.413,154.209,131.3,5.0,mb,52,98,,0.98,pde,pde20120101193252620_131,1363392490867
2012-01-01T20:01:12.180+00:00,-43.446,172.835,11.8,4.1,ml,46,162,,,pde,pde20120101200112180_11,1363392490884
